Tsitkawayu,35.5543089119987,-121.0744513085308
Elewexe,35.60903600962736,-120.69130311517142
Chimimu',35.51915907054942,-120.8073824384609
Tsiskikiye,35.499037034895686,-120.67279991892966
Chisqiyo,35.532570959403216,-120.53409752635153
Tsitxala,35.44535362784354,-120.90351280955466
Spe'ele,35.44199722501528,-120.71537194041403
Tsit'oyo',35.43975954537793,-120.61237511424216
Tipu,35.41514096456924,-120.50663170603903
Chitqawt,35.41514096456924,-120.50663170603903
Tsiqsitye,35.40059008467752,-120.81150231150778
Chitpu,35.37819898675278,-120.60825524119528
Chitneqle,35.387156171854116,-120.56842980174216
Chimonimu',35.40842550027198,-120.43110070017966
Petpatsu,35.267271556893334,-120.88085350779684
Wexetmimu,35.25717970063741,-120.70644554881247
Tipexpa,35.32107355899771,-120.74489769724997
Tech,35.34011985706728,-120.5320375898281
Tkiye,35.34684100832768,-120.41530785349997
Chena,35.28296750164084,-120.49221215037497
Omimu,35.280247048997566,-120.38212361049906
Tsimosmu',35.25333694931199,-120.58846058559672
Chanu,35.2073448576094,-120.84938587856547
Tsikyiw,35.17648189813575,-120.78724446010844
Tsipaxatu,35.16918530392313,-120.73231281948344
